project,issue_key,summary,description,status,priority,predicted_agent,confidence_score
Project-10,ISSUE-1600,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,High,Feature Request,
Project-2,ISSUE-1176,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-1,ISSUE-9804,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Open,Medium,Task,
Project-3,ISSUE-5758,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Critical,Improvement,
Project-10,ISSUE-6161,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,Low,Support,
Project-4,ISSUE-1943,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Open,Low,Support,
Project-1,ISSUE-8724,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,High,Support,
Project-8,ISSUE-8997,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Low,Bug Tracking,
Project-7,ISSUE-4987,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-3,ISSUE-5236,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Critical,Improvement,
Project-8,ISSUE-1460,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-10,ISSUE-9865,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,In Progress,Low,Support,
Project-9,ISSUE-5550,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-2,ISSUE-4644,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-3,ISSUE-6617,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-7,ISSUE-5037,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-1,ISSUE-9404,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-8,ISSUE-8341,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Medium,Improvement,
Project-1,ISSUE-4411,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-3,ISSUE-4313,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,Low,Bug Tracking,
Project-8,ISSUE-3436,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-1,ISSUE-7798,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-6,ISSUE-3545,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Critical,Support,
Project-7,ISSUE-8407,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-5,ISSUE-8468,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-10,ISSUE-7383,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-6,ISSUE-2752,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-5,ISSUE-8320,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,High,Task,
Project-2,ISSUE-9071,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-7,ISSUE-2261,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-5,ISSUE-8081,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Medium,Improvement,
Project-1,ISSUE-6432,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-9,ISSUE-8893,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-2,ISSUE-6753,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Critical,Support,
Project-5,ISSUE-7163,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-6,ISSUE-5447,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-8,ISSUE-5150,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Critical,Improvement,
Project-3,ISSUE-7726,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-1,ISSUE-8839,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,High,Task,
Project-9,ISSUE-8255,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-10,ISSUE-3949,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-2,ISSUE-8726,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-6,ISSUE-7695,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Medium,Task,
Project-9,ISSUE-1893,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Open,High,Task,
Project-7,ISSUE-9828,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,High,Support,
Project-8,ISSUE-4260,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-4,ISSUE-2783,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,High,Feature Request,
Project-3,ISSUE-3384,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Low,Task,
Project-2,ISSUE-6789,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Medium,Task,
Project-4,ISSUE-7990,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-8,ISSUE-3587,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Open,Low,Support,
Project-8,ISSUE-9012,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,High,Feature Request,
Project-7,ISSUE-9927,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,High,Support,
Project-1,ISSUE-7298,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-8,ISSUE-9538,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-3,ISSUE-1574,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,High,Improvement,
Project-5,ISSUE-3111,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,High,Task,
Project-10,ISSUE-2165,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-10,ISSUE-6328,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,In Progress,Low,Task,
Project-3,ISSUE-3537,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-8,ISSUE-1148,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,Medium,Feature Request,
Project-8,ISSUE-8263,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Open,Critical,Task,
Project-9,ISSUE-8141,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-10,ISSUE-1271,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Medium,Task,
Project-1,ISSUE-5710,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Open,Low,Task,
Project-8,ISSUE-8205,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-3,ISSUE-6566,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Low,Bug Tracking,
Project-8,ISSUE-6812,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-9,ISSUE-8294,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-5,ISSUE-2970,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,High,Support,
Project-7,ISSUE-6192,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-7,ISSUE-1810,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-7,ISSUE-1614,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-9,ISSUE-6442,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-1,ISSUE-4905,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-8,ISSUE-3549,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-4,ISSUE-1971,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-8,ISSUE-7968,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Medium,Improvement,
Project-5,ISSUE-8953,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-5,ISSUE-8865,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Medium,Support,
Project-3,ISSUE-5863,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-9,ISSUE-1111,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-8,ISSUE-4247,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Open,Critical,Task,
Project-3,ISSUE-1869,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-9,ISSUE-3526,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-10,ISSUE-7883,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,Medium,Feature Request,
Project-6,ISSUE-3493,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-6,ISSUE-9466,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-4,ISSUE-5916,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-5,ISSUE-3634,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-1,ISSUE-5878,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-2,ISSUE-6611,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,Medium,Support,
Project-2,ISSUE-4561,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-9,ISSUE-8719,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Closed,Low,Improvement,
Project-8,ISSUE-8595,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-6,ISSUE-5422,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,High,Support,
Project-3,ISSUE-6586,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,In Progress,High,Feature Request,
Project-2,ISSUE-5045,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Critical,Bug Tracking,
Project-9,ISSUE-2891,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-10,ISSUE-2669,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,High,Improvement,
Project-1,ISSUE-6672,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,High,Bug Tracking,
Project-9,ISSUE-1042,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,High,Task,
Project-2,ISSUE-2483,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-2,ISSUE-8089,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Low,Improvement,
Project-10,ISSUE-2640,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Open,Medium,Support,
Project-9,ISSUE-2332,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Open,High,Task,
Project-1,ISSUE-8271,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-10,ISSUE-1129,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Critical,Improvement,
Project-10,ISSUE-5470,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,High,Task,
Project-10,ISSUE-5902,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-2,ISSUE-4252,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Closed,High,Improvement,
Project-7,ISSUE-5478,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-2,ISSUE-5430,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-6,ISSUE-7449,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-9,ISSUE-2993,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Closed,Medium,Task,
Project-4,ISSUE-9787,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-5,ISSUE-6074,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Low,Support,
Project-2,ISSUE-8299,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-8,ISSUE-2925,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-6,ISSUE-2142,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-4,ISSUE-3502,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-3,ISSUE-4958,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-8,ISSUE-4688,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-2,ISSUE-2983,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Critical,Task,
Project-3,ISSUE-6863,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-10,ISSUE-9157,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-7,ISSUE-8175,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,Medium,Support,
Project-9,ISSUE-9958,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Low,Task,
Project-10,ISSUE-4713,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,Medium,Task,
Project-5,ISSUE-7908,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Medium,Support,
Project-7,ISSUE-3508,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-3,ISSUE-2557,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,High,Support,
Project-4,ISSUE-4137,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Medium,Task,
Project-10,ISSUE-9627,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-6,ISSUE-1583,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-9,ISSUE-4590,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Closed,Low,Bug Tracking,
Project-10,ISSUE-7992,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-2,ISSUE-1770,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,Critical,Task,
Project-5,ISSUE-7354,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,High,Support,
Project-9,ISSUE-8913,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Medium,Feature Request,
Project-4,ISSUE-8442,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,High,Support,
Project-7,ISSUE-6872,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,High,Support,
Project-7,ISSUE-9090,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,Medium,Bug Tracking,
Project-6,ISSUE-6940,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-9,ISSUE-9147,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-8,ISSUE-1892,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Critical,Improvement,
Project-9,ISSUE-1401,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Open,Critical,Improvement,
Project-2,ISSUE-8420,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-10,ISSUE-9733,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Critical,Bug Tracking,
Project-8,ISSUE-2882,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,High,Task,
Project-9,ISSUE-1149,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-10,ISSUE-9916,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-1,ISSUE-9806,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-9,ISSUE-1924,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-8,ISSUE-5432,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-5,ISSUE-5350,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-7,ISSUE-9131,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,High,Task,
Project-8,ISSUE-8911,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
Project-3,ISSUE-6668,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,High,Improvement,
Project-6,ISSUE-1395,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,Closed,Critical,Task,
Project-1,ISSUE-4878,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Low,Feature Request,
Project-6,ISSUE-8433,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Low,Bug Tracking,
Project-10,ISSUE-3072,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,Closed,Critical,Improvement,
Project-9,ISSUE-8221,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Medium,Improvement,
Project-9,ISSUE-8015,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Closed,High,Feature Request,
Project-3,ISSUE-1315,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,Critical,Improvement,
Project-1,ISSUE-6575,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,Open,High,Task,
Project-2,ISSUE-5817,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,Medium,Bug Tracking,
Project-5,ISSUE-6069,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Closed,Medium,Support,
Project-1,ISSUE-1585,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-8,ISSUE-7716,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Medium,Bug Tracking,
Project-7,ISSUE-7002,Add dark mode support for the dashboard.,Add dark mode support for the dashboard. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-6,ISSUE-9028,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,In Progress,Critical,Improvement,
Project-3,ISSUE-2513,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-9,ISSUE-4709,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-2,ISSUE-3120,Complete project setup documentation.,Complete project setup documentation. Additional context and details about the task issue.,Closed,Low,Task,
Project-10,ISSUE-9700,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-9,ISSUE-4960,Create export functionality for reports.,Create export functionality for reports. Additional context and details about the feature request issue.,Open,High,Feature Request,
Project-7,ISSUE-1585,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Low,Feature Request,
Project-4,ISSUE-6173,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Critical,Feature Request,
Project-5,ISSUE-3965,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Open,High,Bug Tracking,
Project-3,ISSUE-9724,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-5,ISSUE-2901,Optimize database queries for faster load times.,Optimize database queries for faster load times. Additional context and details about the improvement issue.,Open,Medium,Improvement,
Project-3,ISSUE-7821,Improve error messages with detailed information.,Improve error messages with detailed information. Additional context and details about the improvement issue.,In Progress,High,Improvement,
Project-8,ISSUE-3957,Unable to save form data after multiple attempts.,Unable to save form data after multiple attempts. Additional context and details about the bug tracking issue.,Closed,High,Bug Tracking,
Project-8,ISSUE-9621,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,High,Support,
Project-10,ISSUE-6721,Verify integration with third-party APIs.,Verify integration with third-party APIs. Additional context and details about the task issue.,In Progress,Critical,Task,
Project-1,ISSUE-3620,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,Critical,Support,
Project-1,ISSUE-7013,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Critical,Feature Request,
Project-6,ISSUE-8648,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-5,ISSUE-1157,Assist customer with resetting their account password.,Assist customer with resetting their account password. Additional context and details about the support issue.,Closed,High,Support,
Project-3,ISSUE-1023,Migrate existing users to the new system.,Migrate existing users to the new system. Additional context and details about the task issue.,In Progress,Low,Task,
Project-7,ISSUE-2941,Redesign the user profile page for better UX.,Redesign the user profile page for better UX. Additional context and details about the improvement issue.,Open,Low,Improvement,
Project-9,ISSUE-6579,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,In Progress,Critical,Support,
Project-10,ISSUE-4592,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Open,Medium,Feature Request,
Project-8,ISSUE-4665,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,Open,Medium,Bug Tracking,
Project-1,ISSUE-4116,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,In Progress,Critical,Feature Request,
Project-8,ISSUE-4473,Help with configuring email notifications.,Help with configuring email notifications. Additional context and details about the support issue.,Open,Medium,Support,
Project-10,ISSUE-2277,Implement SSO for better user authentication.,Implement SSO for better user authentication. Additional context and details about the feature request issue.,Closed,Low,Feature Request,
Project-5,ISSUE-2922,Troubleshoot network connectivity for office setup.,Troubleshoot network connectivity for office setup. Additional context and details about the support issue.,Closed,Critical,Support,
Project-3,ISSUE-4101,API returns null value for valid parameters.,API returns null value for valid parameters. Additional context and details about the bug tracking issue.,In Progress,Critical,Bug Tracking,
Project-9,ISSUE-5205,Login page throws 500 error on incorrect password.,Login page throws 500 error on incorrect password. Additional context and details about the bug tracking issue.,Closed,Medium,Bug Tracking,
